Country,Location,COUNTA of Full Name
Afghanistan,Kabul,26
,Jalalabad,6
,Kandahar,5
,Nangarhar Province,4
,Takhar Province,3
,Lashkar Gah,3
,Khost,3
,"Marjah district, Helmand province",2
,Helmand province,2
,Ghazni,2
,Baghlan,2
,Tarin Kot,1
,"Taloqan/Tashkent, Uzbekistan",1
,Taloqan,1
,Surkhrod,1
,Spin Boldak,1
,"Qalat, Zabul Province",1
,Parwan province,1
,Orgun,1
,"Mohammed Agha District, Logar Province",1
,Mazar-i-Sharif,1
,Mazar-e-Sherif,1
,Mazar-e-Sharif,1
,"Lashkar Gah, Helmand Province",1
,Gardiz,1
,Feroz Koh,1
,Deh Sabz,1
,an area south of Kandahar,1
,an area near Nawa,1
,an area near Kunduz,1
,an area near Kabul,1
,,1
Afghanistan Total,,79
Grand Total,,79