Country,Year,Status,COUNTA of Full Name
Afghanistan,1994,Killed,1
,1994 Total,,1
,1998,Killed,1
,1998 Total,,1
,2001,Killed,9
,2001 Total,,9
,2006,Killed,3
,2006 Total,,3
,2007,Killed,3
,2007 Total,,3
,2008,Killed,2
,2008 Total,,2
,2009,Killed,3
,2009 Total,,3
,2010,Killed,3
,2010 Total,,3
,2011,Killed,2
,2011 Total,,2
,2012,Killed,1
,2012 Total,,1
,2014,Killed,5
,2014 Total,,5
,2016,Killed,6
,2016 Total,,6
,2017,Killed,11
,2017 Total,,11
,2018,Killed,16
,2018 Total,,16
,2019,Killed,2
,2019 Total,,2
,2020,Killed,6
,2020 Total,,6
,2021,Killed,4
,2021 Total,,4
,2023,Killed,1
,2023 Total,,1
Afghanistan Total,,,79
Grand Total,,,79